Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
34947755.919926695526	-113221485.711385667324	86385545.781645685434	37427721.819092921913	-18.935819676424	-20.235226239143	-8.852954174409
34947755.920053184032	-113221485.713780879974	86385545.779086112976	37427721.817973099649	-18.935819676185	-20.235226239420	-8.852954174500
34947755.920306168497	-113221485.718571305275	86385545.773966968060	37427721.815733462572	-18.935819675707	-20.235226239973	-8.852954174682
34947755.920812129974	-113221485.728152155876	86385545.763728663325	37427721.811254180968	-18.935819674752	-20.235226241080	-8.852954175047
34947755.921824060380	-113221485.747313857079	86385545.743252053857	37427721.802295617759	-18.935819672840	-20.235226243295	-8.852954175775
34947755.923847921193	-113221485.785637259483	86385545.702298834920	37427721.784378498793	-18.935819669018	-20.235226247723	-8.852954177233
34947755.927895635366	-113221485.862284064293	86385545.620392397046	37427721.748544260859	-18.935819661373	-20.235226256580	-8.852954180148
34947755.935991063714	-113221486.015577688813	86385545.456579521298	37427721.676875784993	-18.935819646083	-20.235226274294	-8.852954185978
34947755.952181927860	-113221486.322164922953	86385545.128953769803	37427721.533538825810	-18.935819615503	-20.235226309722	-8.852954197638
34947755.984563648701	-113221486.935339391232	86385544.473702266812	37427721.246864914894	-18.935819554344	-20.235226380577	-8.852954220958
34947756.049327097833	-113221488.161688327789	86385543.163199260831	37427720.673517085612	-18.935819432025	-20.235226522288	-8.852954267599
34947756.178853988647	-113221490.614386171103	86385540.542193219066	37427719.526821419597	-18.935819187387	-20.235226805710	-8.852954360880
34947756.437907777727	-113221495.519781753421	86385535.300181031227	37427717.233430050313	-18.935818698112	-20.235227372554	-8.852954547443
34947756.956015348434	-113221505.330572545528	86385524.816156223416	37427712.646647170186	-18.935817719562	-20.235228506244	-8.852954920569
34947757.992230489850	-113221524.952152609825	86385503.848104834557	37427703.473080828786	-18.935815762465	-20.235230773630	-8.852955666823
34947760.064660780132	-113221564.195306658745	86385461.911995008588	37427685.125945828855	-18.935811848282	-20.235235308428	-8.852957159340
34947764.209521353245	-113221642.681590422988	86385378.039747163653	37427648.431666545570	-18.935804019962	-20.235244378125	-8.852960144409
34947772.499242499471	-113221799.654060602188	86385210.295138686895	37427575.043070852757	-18.935788363505	-20.235262517923	-8.852966114690
34947789.078684799373	-113222113.598611593246	86384874.805470615625	37427428.265730991960	-18.935757051318	-20.235298799131	-8.852978055816
34947822.237569399178	-113222741.486156195402	86384203.824329808354	37427134.710457310081	-18.935694429860	-20.235371368005	-8.853001940333
34947888.555338591337	-113223997.255016341805	86382861.854828566313	37426547.597533740103	-18.935569198597	-20.235516531580	-8.853049718424
34948021.190876983106	-113226508.767824038863	86380177.886939585209	37425373.362178988755	-18.935318782653	-20.235806962044	-8.853145310843
34948286.461953766644	-113231531.693817839026	86374809.835551753640	37423024.853416606784	-18.934818136808	-20.236388236305	-8.853336640678
34948817.004107333720	-113241577.147548958659	86364073.269824758172	37418327.683500729501	-18.933817587059	-20.237552438692	-8.853719880775
