Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
3570312.957308041863	-117273271.382331609726	82439667.701699540019	35779012.863419860601	-18.010062525683	-22.476832846316	-9.754178398304
3570315.029738329351	-117273308.706915318966	82439621.120026826859	35778992.648562952876	-18.010047713293	-22.476836273217	-9.754180490802
3570319.174598903861	-117273383.355990633368	82439527.956660106778	35778952.218836121261	-18.010018088559	-22.476843126926	-9.754184675758
3570327.464320053346	-117273532.653772905469	82439341.629841446877	35778871.359330430627	-18.009958839278	-22.476856833981	-9.754193045512
3570344.043762352318	-117273831.247863978148	82438968.975863263011	35778709.640110895038	-18.009840341464	-22.476884246631	-9.754209784391
3570377.202646950260	-117274428.430152267218	82438223.666543513536	35778386.200839303434	-18.009603348832	-22.476939066096	-9.754243259629
3570443.520416146144	-117275622.771153941751	82436733.042451396585	35777739.318966388702	-18.009129375547	-22.477048681691	-9.754310200032
3570576.155954537913	-117278011.358861401677	82433751.772463932633	35776445.541904769838	-18.008181476916	-22.477267819542	-9.754444040541
3570841.427031320985	-117282788.157122388482	82427789.145333871245	35773857.934543326497	-18.006285871562	-22.477705721955	-9.754711560379
3571371.969184887130	-117292340.245266452432	82415863.542915210128	35768682.507067114115	-18.002495429699	-22.478580034158	-9.755245955444
3572433.053492019419	-117311438.389950141311	82392010.949137613177	35758330.802697062492	-17.994917631054	-22.480322692335	-9.756312167939
3574555.222106283996	-117349610.568234473467	82344300.235338687897	35737624.009045243263	-17.979774451665	-22.483784178037	-9.758434288942
3576677.390720548574	-117387750.627832844853	82296582.209342822433	35716912.726461991668	-17.964647977277	-22.487213955252	-9.760542683936
3580921.727949078195	-117463934.533904284239	82201124.489416643977	35675476.810918502510	-17.934445853058	-22.493978703152	-9.764718357885
3585166.065177607816	-117539990.397794678807	82105638.324965626001	35634023.288567125797	-17.904312677767	-22.500617581764	-9.768839316684
3589410.402406137437	-117615918.515159398317	82010124.248828679323	35592552.391359746456	-17.874249871181	-22.507131249511	-9.772905691959
3594207.183689204045	-117701576.065542653203	81902145.103258281946	35545663.007488951087	-17.840360568999	-22.514342863873	-9.777435816440
3599003.964972270653	-117787071.280369937420	81794131.744688943028	35498752.059986419976	-17.806565010602	-22.521396397989	-9.781896602226
3603800.746255337261	-117872404.614228814840	81686084.928981781006	35451819.880948439240	-17.772865247079	-22.528292862516	-9.786288261761
3608597.527538403869	-117957576.531546577811	81578005.407097533345	35404866.801432646811	-17.739263329970	-22.535033290036	-9.790611015674
3613394.308821470477	-118042587.506592214108	81469893.924990653992	35357893.151418484747	-17.705761311185	-22.541618735393	-9.794865092912
3618278.697716324590	-118128986.230161994696	81359775.837582901120	35310040.785013616085	-17.671752190482	-22.548166316366	-9.799126541797
3618278.697716324590	-118128986.230162024498	81359775.837582916021	35310040.785013623536	-17.675258501094	-22.553867881675	-9.800799631881
3618278.697724230122	-118128986.230301752687	81359775.837404608727	35310040.784936144948	-17.675258501039	-22.553867881686	-9.800799631888
3618278.697740041651	-118128986.230581223965	81359775.837047994137	35310040.784781180322	-17.675258500929	-22.553867881707	-9.800799631902
3618278.697771664243	-118128986.231140166521	81359775.836334779859	35310040.784471251070	-17.675258500709	-22.553867881749	-9.800799631929
3618278.697834909894	-118128986.232258051634	81359775.834908351302	35310040.783851392567	-17.675258500269	-22.553867881832	-9.800799631984
3618278.697961401194	-118128986.234493821859	81359775.832055494189	35310040.782611675560	-17.675258499390	-22.553867882000	-9.800799632093
3618278.698214383330	-118128986.238965347409	81359775.826349765062	35310040.780132248998	-17.675258497631	-22.553867882335	-9.800799632312
3618278.698720347602	-118128986.247908398509	81359775.814938306808	35310040.775173395872	-17.675258494114	-22.553867883005	-9.800799632750
3618278.699732276611	-118128986.265794500709	81359775.792115390301	35310040.765255682170	-17.675258487079	-22.553867884345	-9.800799633625
3618278.701756134164	-118128986.301566705108	81359775.746469572186	35310040.745420254767	-17.675258473010	-22.553867887025	-9.800799635376
3618278.705803849734	-118128986.373111113906	81359775.655177935958	35310040.705749407411	-17.675258444870	-22.553867892385	-9.800799638879
3618278.713899280410	-118128986.516199946404	81359775.472594663501	35310040.626407712698	-17.675258388592	-22.553867903106	-9.800799645883
3618278.730090142228	-118128986.802377611399	81359775.107428103685	35310040.467724323273	-17.675258276036	-22.553867924547	-9.800799659892
3618278.762471865397	-118128987.374732926488	81359774.377094998956	35310040.150357544422	-17.675258050923	-22.553867967428	-9.800799687909
3618278.827235311735	-118128988.519443541765	81359772.916428774595	35310039.515623979270	-17.675257600697	-22.553868053192	-9.800799743943
3618278.956762204878	-118128990.808864682913	81359769.995096310973	35310038.246156834066	-17.675256700245	-22.553868224718	-9.800799856012
3618279.215815990698	-118128995.387706607580	81359764.152431309223	35310035.707222498953	-17.675254899343	-22.553868567771	-9.800800080149
3618279.733923562337	-118129004.545389071107	81359752.467101052403	35310030.629353649914	-17.675251297538	-22.553869253875	-9.800800528423
3618280.770138706081	-118129022.860748395324	81359729.096439465880	35310020.473615258932	-17.675244093932	-22.553870626077	-9.800801424969
3618282.842568993568	-118129059.491444662213	81359682.355112046003	35310000.162135690451	-17.675229686735	-22.553873370462	-9.800803218051
3618286.987429568078	-118129132.752747625113	81359588.872440129519	35309959.539165399969	-17.675200872400	-22.553878859145	-9.800806804176
3618295.277150717564	-118129279.274995252490	81359401.907028049231	35309878.293180227280	-17.675143243968	-22.553889836174	-9.800813976276
3618311.856593016535	-118129572.318057343364	81359027.975930914283	35309715.801031522453	-17.675027988054	-22.553911788875	-9.800828319868
3618345.015477614477	-118130158.398448958993	81358280.112644821405	35309390.816020712256	-17.674797480026	-22.553955688855	-9.800857004624
3618411.333246810362	-118131330.536302432418	81356784.381706207991	35308740.843145899475	-17.674336479171	-22.554043467128	-9.800914364423
3618543.968785202131	-118133674.720295101404	81353792.902369990945	35307440.885986499488	-17.673414538287	-22.554218936933	-9.801029045168
3618809.239861985203	-118138362.721460968256	81347809.873915314674	35304840.926052652299	-17.671570899966	-22.554569529668	-9.801258251275
3619339.782015551347	-118147737.256816402078	81335843.538306206465	35299640.823917068541	-17.667884598303	-22.555269328351	-9.801716042118
