Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
1701112.741438293597	-74395729.204391926527	116162094.067675709724	50364462.598945178092	-25.212743432510	-13.412792995075	-5.925670961503
1701112.870965186507	-74395732.470120236278	116162092.330358281732	50364461.831411421299	-25.212743234606	-13.412793301866	-5.925671096934
1701113.130018972326	-74395739.001576766372	116162088.855723321438	50364460.296343855560	-25.212742838800	-13.412793915449	-5.925671367797
1701113.648126544198	-74395752.064489528537	116162081.906452909112	50364457.226208508015	-25.212742047187	-13.412795142616	-5.925671909522
1701114.684341687942	-74395778.190313830972	116162068.007910192013	50364451.085936978459	-25.212740463968	-13.412797596954	-5.925672992973
1701116.756771975197	-74395830.441957518458	116162040.210817128420	50364438.805390551686	-25.212737297554	-13.412802505644	-5.925675159878
1701120.901632549940	-74395934.945225194097	116161984.616600483656	50364414.244284220040	-25.212730964815	-13.412812323082	-5.925679493701
1701129.191353699425	-74396143.951681807637	116161873.428045108914	50364365.122017666698	-25.212718299702	-13.412831958185	-5.925688161397
1701145.770795998396	-74396561.964280083776	116161651.050446048379	50364266.877269007266	-25.212692970934	-13.412871229306	-5.925705496983
1701178.929680596339	-74397397.988216906786	116161206.293294593692	50364070.386909432709	-25.212642319231	-13.412949775206	-5.925740168941
1701245.247449792223	-74399070.031052544713	116160316.771177798510	50363677.402741149068	-25.212541039153	-13.413106881643	-5.925809515996
1701322.568821269786	-74401019.494740128517	116159279.644275531173	50363219.207896247506	-25.212422993710	-13.413290080205	-5.925890374569
1701399.890192747349	-74402968.949301913381	116158242.503207072616	50362761.006799027324	-25.212304990535	-13.413473305317	-5.925971238841
1701477.211564224912	-74404918.394741162658	116157205.347970366478	50362302.799449048936	-25.212187029617	-13.413656556990	-5.926052108818
1701554.532935702475	-74406867.831061154604	116156168.178563356400	50361844.585845872760	-25.212069110949	-13.413839835235	-5.926132984504
1701631.854307180038	-74408817.258265137672	116155130.994984000921	50361386.365989059210	-25.211951234521	-13.414023140065	-5.926213865905
1701709.175678657601	-74410766.676356390119	116154093.797230228782	50360928.139878161252	-25.211833400324	-13.414206471491	-5.926294753025
1701786.497050135164	-74412716.085338175297	116153056.585299998522	50360469.907512739301	-25.211715608351	-13.414389829524	-5.926375645870
1701863.818421612727	-74414665.485213756561	116152019.359191238880	50360011.668892353773	-25.211597858592	-13.414573214176	-5.926456544444
1701885.825634081149	-74415220.321835801005	116151724.141253963113	50359881.243850626051	-25.211564352366	-13.414625413992	-5.926479570849
1701885.825634081149	-74415220.321835815907	116151724.141254484653	50359881.243850857019	-25.211528526665	-13.415605952355	-5.926846492157
1701885.825641986914	-74415220.322035133839	116151724.141148418188	50359881.243804000318	-25.211528526653	-13.415605952374	-5.926846492165
1701885.825657798210	-74415220.322433769703	116151724.140936300159	50359881.243710286915	-25.211528526629	-13.415605952411	-5.926846492182
1701885.825689421035	-74415220.323231026530	116151724.140512064099	50359881.243522860110	-25.211528526581	-13.415605952486	-5.926846492215
1701885.825752666686	-74415220.324825540185	116151724.139663591981	50359881.243148013949	-25.211528526485	-13.415605952636	-5.926846492281
1701885.825879157754	-74415220.328014567494	116151724.137966632843	50359881.242398321629	-25.211528526292	-13.415605952936	-5.926846492414
1701885.826132139890	-74415220.334392637014	116151724.134572729468	50359881.240898936987	-25.211528525907	-13.415605953536	-5.926846492678
1701885.826638104394	-74415220.347148776054	116151724.127784907818	50359881.237900160253	-25.211528525137	-13.415605954737	-5.926846493208
1701885.827650033170	-74415220.372661054134	116151724.114209264517	50359881.231902614236	-25.211528523596	-13.415605957137	-5.926846494266
1701885.829673890956	-74415220.423685595393	116151724.087057992816	50359881.219907522202	-25.211528520515	-13.415605961937	-5.926846496384
1701885.833721606294	-74415220.525734692812	116151724.032755434513	50359881.195917330682	-25.211528514352	-13.415605971539	-5.926846500619
1701885.841817037202	-74415220.729832872748	116151723.924150317907	50359881.147936955094	-25.211528502028	-13.415605990741	-5.926846509090
1701885.858007898787	-74415221.138029247522	116151723.706940099597	50359881.051976203918	-25.211528477378	-13.415606029145	-5.926846526031
1701885.890389621956	-74415221.954421982169	116151723.272519662976	50359880.860054701567	-25.211528428079	-13.415606105955	-5.926846559912
1701885.955153068528	-74415223.587207451463	116151722.403678774834	50359880.476211689413	-25.211528329481	-13.415606259573	-5.926846627676
1701886.084679961437	-74415226.852778375149	116151720.665996953845	50359879.708525650203	-25.211528132285	-13.415606566810	-5.926846763203
1701886.343733747257	-74415233.383920133114	116151717.190633207560	50359878.173153519630	-25.211527737894	-13.415607181283	-5.926847034257
1701886.861841319129	-74415246.446203351021	116151710.239905223250	50359875.102409057319	-25.211526949112	-13.415608410231	-5.926847576364
1701887.898056462873	-74415272.570768550038	116151696.338447347283	50359868.960919283330	-25.211525371555	-13.415610868131	-5.926848660581
1701889.970486750128	-74415324.819894045591	116151668.535523965955	50359856.677936360240	-25.211522216463	-13.415615783944	-5.926850829017
1701894.115347324871	-74415429.318125426769	116151612.929646641016	50359832.111957035959	-25.211515906371	-13.415625615628	-5.926855165902
1701902.405068474356	-74415638.314509734511	116151501.717769742012	50359782.979944467545	-25.211503286548	-13.415645279227	-5.926863839721
1701918.984510773327	-74416056.306964516640	116151279.293526917696	50359684.715703614056	-25.211478048356	-13.415684607345	-5.926881187559
1701952.143395371269	-74416892.290618866682	116150834.443085104227	50359488.186359047890	-25.211427577782	-13.415763267264	-5.926915884030
1702018.461164567154	-74418564.252907574177	116149944.734376236796	50359095.124218329787	-25.211326659874	-13.415920601839	-5.926985280155
1702095.782536044717	-74420513.622714012861	116148907.389902964234	50358636.838459514081	-25.211209036544	-13.416104066559	-5.927066196015
1702173.103907522280	-74422462.983427286148	116147870.031242921948	50358178.546443954110	-25.211091455320	-13.416287558007	-5.927147117655
1702250.425278999843	-74424412.335050642490	116146832.658394038677	50357720.248171195388	-25.210973916195	-13.416471076196	-5.927228045079
1702327.746650477406	-74426361.677587345243	116145795.271354243159	50357261.943640790880	-25.210856419158	-13.416654621136	-5.927308978293
1702405.068021954969	-74428311.011040642858	116144757.870121464133	50356803.632852301002	-25.210738964200	-13.416838192840	-5.927389917302
1702482.389393432532	-74430260.335413783789	116143720.454693630338	50356345.315805271268	-25.210621551314	-13.417021791318	-5.927470862111
1702559.710764910094	-74432209.650710016489	116142683.025068670511	50355886.992499254644	-25.210504180490	-13.417205416582	-5.927551812725
1702637.032136387657	-74434158.956932604313	116141645.581244528294	50355428.662933796644	-25.210386851720	-13.417389068644	-5.927632769148
1702659.039348856080	-74434713.766905084252	116141350.301337301731	50355298.212006457150	-25.210353465286	-13.417441344604	-5.927655812032
1702659.039348856080	-74434713.766905084252	116141350.301337853074	50355298.212006650865	-25.210337712654	-13.418847399713	-5.928179303433
